,NACL60-1,NACL60-2,NACL60-3,NACL20-1,NACL20-2,NACL20-3,NACL100-1,NACL100-2,NACL100-3,HN-1,HN-2,HN-3,Fermentation_L9h,Fermentation_L19h,Fermentation_L30h,Fermentation_R9h,Fermentation_R19h,Fermentation_R30h,MU
TD01GL001026,2.0518060801697e-07,1.6674866500886693e-07,1.694491199381375e-07,,,,6.709667069258553e-09,2.3447503903593916e-08,1.970620812965772e-08,2.1010679621863177e-07,3.40421796009603e-07,2.8991103979548585e-07,5.595573302824313e-06,7.963771708784894e-07,1.0095768871954744e-06,2.5229194144732584e-06,9.893439477218543e-07,1.0529064666097365e-06,4.74e-08
TD01GL001029,4.224965386899562e-08,4.3420109941946946e-08,6.779915106703537e-08,,,,3.8600676525667126e-10,8.129439590074775e-09,1.1533290794187483e-08,5.8403670502675414e-08,1.0944887071884893e-07,4.2214562042370954e-08,5.094834877671713e-07,3.2506135124105753e-07,1.023923732562986e-07,3.0730978044753194e-07,1.3038568116789905e-07,1.323673492520164e-07,
TD01GL001031,3.694607285715903e-08,1.3334527954068353e-08,6.292957119389875e-08,,,,,,,1.325326864200662e-08,7.766067201539388e-08,3.735905070269897e-08,5.098277278603478e-07,1.482778591982774e-07,1.1235705692888121e-07,3.626299135110353e-07,1.3296944550424938e-07,1.5383875571100236e-07,
TD01GL001033,6.915706405963876e-08,5.066460526930115e-08,1.1541740018778633e-07,,,,8.102653471025642e-09,1.281671228552619e-08,7.918250493241459e-09,7.875454327138479e-08,1.2627998606360168e-07,9.891437256051992e-08,5.917833402636296e-07,1.833308138190244e-07,1.6805448178939278e-07,4.7298942183195107e-07,1.7747436714210362e-07,9.450834681057015e-08,
TD01GL001035,2.5825694605670687e-07,8.069731401714058e-08,2.396994852138112e-07,,,,4.624174960135681e-08,7.99938790524236e-08,9.701401542660895e-08,2.5344970230860466e-07,2.745246198642238e-07,2.9449113881878195e-07,1.2913794503967456e-07,1.5223856708442317e-07,2.516146605165106e-07,9.418970745558756e-08,1.9595519350876914e-07,1.7269820281254332e-07,
TD01GL001036,9.95309074528093e-07,8.350464903192545e-07,9.66842407411915e-07,8.879225091988375e-07,7.611620039060763e-07,8.394161632802843e-07,2.0567404769887837e-07,3.395473868691648e-07,3.5642844607297326e-07,7.745015323481407e-07,1.0887202983016515e-06,1.2190002162448328e-06,1.6555998339084858e-06,1.0746421536503383e-06,1.392200828373692e-06,7.73195894461141e-07,1.3393755443475322e-06,1.3640437074806728e-06,1.14e-07
TD01GL001037,,,,,,,,,,,,,,,,,,,1.7600000000000001e-07
TD01GL001038,2.3009561784523217e-06,1.303063212108858e-06,1.7570286144947902e-06,1.5948369763610104e-06,1.462924023718757e-06,1.6190516763744103e-06,3.966424919029666e-07,7.903594809762986e-07,7.059584760943701e-07,2.063475281966175e-06,2.1945427870562834e-06,2.1596496985469983e-06,3.011986497278201e-06,1.4625913682610708e-06,2.679773765105957e-06,1.403813628929497e-06,2.090174603577163e-06,2.6039858526365418e-06,
TD01GL001039,4.051451952985639e-07,3.297448443697135e-07,4.553311311084963e-07,4.4432757172844525e-07,3.516995595595584e-07,4.3286792390073713e-07,9.205266776149182e-08,1.200247467577462e-07,1.676107597920226e-07,3.254044558801826e-07,4.2872302571479883e-07,3.752050669441795e-07,8.014866355400306e-07,6.460156280022503e-07,6.014107080189041e-07,3.903749001631661e-07,6.833475296898344e-07,5.583871210410277e-07,
TD01GL001040,1.0698485486973246e-08,6.4586381376946575e-09,1.4247830495758966e-08,,,,1.2493257414592085e-08,3.779375331318545e-08,2.675360436546492e-08,4.2768463266565317e-07,5.05742293311698e-07,6.581851302755999e-07,7.953374558744205e-09,3.764091583643317e-08,2.1203760672300925e-08,1.0773896169411027e-08,9.342861438876081e-09,1.1914655793025738e-08,5.520000000000001e-07
TD01GL001041,4.1483369463245496e-07,3.3621278709306104e-07,4.4963090206400247e-07,,,,2.633315920311454e-08,5.4451995532460116e-08,6.118746435218868e-08,8.300557191795536e-07,8.109023234023782e-07,8.922476647408481e-07,4.1138135695022566e-07,3.475000472826615e-07,3.21787587795379e-07,2.0055082056267704e-07,1.4102218088040098e-07,3.1167232329540374e-07,1.33e-06
TD01GL001042,1.4358190721588742e-08,3.594376966398678e-09,2.11845466261972e-08,,,,1.497438129197553e-09,3.804867919049391e-09,5.776306683255659e-09,5.096287232163627e-08,8.514495044187517e-08,1.943634285294033e-08,6.24847003130801e-08,1.6706234433833277e-07,1.4778614755610633e-07,6.164650290925547e-08,1.3308742070377534e-07,9.787018438031887e-08,
TD01GL001043,,,,6.17365338501542e-09,7.182046312474557e-09,1.2894551396176245e-08,1.6023556765112146e-09,3.925269139732707e-09,1.2893154682991846e-08,7.206154403298509e-08,1.0652310677923664e-07,1.453804447716593e-07,1.398068947899808e-07,1.3665016810509468e-07,1.196181422328265e-07,7.440756408505789e-08,1.727723004900977e-07,1.538664403591678e-07,1.45e-07
TD01GL001044,2.3233331529532097e-07,1.1634417492992426e-07,2.3076684880354754e-07,2.8719242609189482e-08,4.336015347535842e-08,3.079182621725188e-08,2.8383647602410065e-08,4.5494596803674054e-08,5.6013222495723416e-08,1.2470938874949465e-07,2.9147192372963184e-07,2.026829833155305e-07,2.2826129322400928e-07,2.207038642361566e-07,2.2067084684470337e-07,1.766977671947585e-07,2.022767276727002e-07,1.7171385501986658e-07,
TD01GL001045,1.976262944837456e-07,1.9592423991578417e-07,2.8414607024311936e-07,,,,1.1152660367142384e-08,4.439489801711417e-08,3.6261495016568744e-08,7.30095998953181e-08,1.2830291606177485e-07,2.50075138390956e-07,5.620473268661581e-08,1.0803986462328229e-07,5.3605765035726134e-08,2.3528543656919713e-08,7.315568606681354e-08,5.4342286385534904e-08,
TD01GL001046,8.918258844840611e-08,9.577902742017106e-08,1.3084650092658093e-07,7.372858923966518e-08,6.118478698545367e-08,5.929432373110077e-08,5.588936333628122e-08,7.618974973444813e-08,9.712097649343738e-08,9.384159971629341e-08,1.7092385623825836e-07,1.8968214864573604e-07,1.6384036749686892e-07,1.475166991343968e-07,8.003065090506859e-08,9.686066841196506e-08,1.0012149491774516e-07,1.0165264493375832e-07,
TD01GL001049,4.923605974371444e-07,3.58440575314376e-07,5.820723125885639e-07,2.7751862139589996e-08,4.35485278014157e-08,2.5530843940931064e-08,6.186425169763464e-08,1.2106115127164986e-07,1.290277137417788e-07,4.614870162988125e-07,5.8362154793258e-07,6.672528729019305e-07,3.1467634852790185e-07,3.9205666889136397e-07,2.9843721682327084e-07,2.2978992595472894e-07,3.9127329031346657e-07,4.1562801471439666e-07,
TD01GL001050,3.407291012017918e-07,8.875297361537617e-07,7.096590737230619e-07,3.0294261161774757e-07,8.361275568962095e-08,2.4099648204106516e-07,1.197858358765036e-07,1.669530950388611e-07,1.5667789584123327e-07,2.5876814025468143e-07,2.8530124285043294e-07,2.6152153681177784e-07,,,,3.2618299680735876e-07,1.3165861139738878e-07,2.6069921647554956e-07,
TD01GL001051,4.599506448383089e-07,2.9399691078334277e-07,4.383412785450654e-07,1.833195687581109e-07,2.0825199494855803e-07,2.5255995016570904e-07,1.8569967751515627e-07,2.402659793860635e-07,2.4062423405779983e-07,4.225469163589023e-07,3.8761059125431607e-07,6.73406865341579e-07,4.249012556487186e-07,1.360336865347815e-07,2.394020207969725e-07,4.253473399620496e-07,1.638869501488992e-07,2.922704576131374e-07,2.48e-07
TD01GL001052,1.1863392124021256e-06,1.1761526507553734e-06,1.376761134386253e-06,,,,2.0339311627012148e-07,3.960905398260342e-07,3.36657314968368e-07,1.158815142328931e-06,1.3732490362400852e-06,1.440471645610206e-06,1.072809716447575e-06,1.141331654357515e-06,1.0981710169736926e-06,7.444197098344173e-07,9.996434507845865e-07,9.97387815046808e-07,4.02e-07
TD01GL001053,4.76921135120392e-06,5.209195807631252e-06,5.534274949527298e-06,1.0041243059184823e-06,9.599216437099626e-07,1.0800349782770557e-06,1.6741738763659905e-06,1.6225057466769138e-06,1.3834008917882314e-06,5.098888673289388e-06,6.063929803467376e-06,7.3045032264892096e-06,7.737447159070199e-06,2.4784976295410358e-06,2.470579296889556e-06,3.7888581190729995e-06,3.1628616081575357e-06,2.95309187823888e-06,3.4e-07
TD01GL001054,,,,,,,,,,,,,,,,,,,3.8100000000000004e-07
TD01GL001055,,,,,,,,,,,,,,,,,,,1.1400000000000001e-05
TD01GL001056,1.0792047889038983e-05,9.952254845061309e-06,8.929763926107482e-06,3.809236432739583e-06,2.772703979461828e-06,3.6991667372550535e-06,2.4915741248679358e-06,2.3904310816694046e-06,2.2481574975604794e-06,9.654950975551977e-06,1.0359774557692519e-05,1.1271516283839339e-05,9.88624535710152e-06,5.027644170463094e-06,6.064803201506282e-06,4.15234626404509e-06,5.597512914840967e-06,6.698249946884431e-06,1.57e-06
TD01GL001057,1.908196570121971e-05,1.5860392597435126e-05,1.5471571051614417e-05,4.308765339314542e-06,4.642415472797669e-06,4.5881123552281816e-06,4.252103498436245e-06,3.984370212860887e-06,3.667647143582934e-06,1.8993754259115e-05,1.703689505751606e-05,2.0443255794284765e-05,1.314135158518796e-05,1.0292561187513083e-05,9.742206069387178e-06,6.303414167982988e-06,9.065263381514158e-06,9.89092860469184e-06,1.03e-06
TD01GL001058,4.116997607223801e-06,3.170541590743673e-06,3.890414708000015e-06,1.1240361362240217e-06,1.1500698369951115e-06,1.0321098561021208e-06,1.3780212631909125e-06,1.441348866150194e-06,1.305130598640052e-06,3.791501551151927e-06,4.370522048093683e-06,4.711081564570405e-06,3.2443225745367685e-06,2.660234201765767e-06,2.7018169661793694e-06,1.7839199402654676e-06,2.4151043022371274e-06,2.9148149661216753e-06,3.51e-07
TD01GL001059,6.705200261819512e-06,8.056498040663126e-06,5.574357162104224e-06,2.3499477880869046e-06,2.156407780559827e-06,2.1625202482452726e-06,2.588887785247618e-06,2.8160849823389144e-06,2.119955594910209e-06,7.583076506515471e-06,6.818954823442124e-06,7.1310047664494955e-06,6.522018682851089e-06,3.5499761265099912e-06,3.994721291683571e-06,2.405870418473727e-06,3.2090535736406004e-06,3.652661295813349e-06,1.14e-06
TD01GL001060,2.2539968180157867e-05,1.8115918754103505e-05,1.771957303055251e-05,6.041680947419128e-06,5.456545963816185e-06,6.302665120614814e-06,8.55592175813304e-06,7.910931753421862e-06,6.128200969032964e-06,1.8915352783052846e-05,1.6870038387369207e-05,2.0240383076309954e-05,1.382661906555532e-05,9.645085821146884e-06,1.1868199903547673e-05,4.9924093489723645e-06,8.989862510700477e-06,1.2421688229850065e-05,2e-06
TD01GL001061,2.0558034709578956e-05,1.8728187378545623e-05,1.53171851845403e-05,9.043710900722891e-06,7.964449661256149e-06,9.621358985150527e-06,8.163227544413907e-06,7.05204875416221e-06,6.278412876286015e-06,1.8584962661636183e-05,1.7938785439248028e-05,2.0269923876159883e-05,1.588134817838161e-05,9.007612307779421e-06,9.985937429730026e-06,5.6588757674475985e-06,8.701149505215859e-06,9.747785317615182e-06,3.29e-06
TD01GL001062,2.295841673592419e-05,2.4333432498658414e-05,1.7436818698320895e-05,1.0029178082425686e-05,9.615901391773331e-06,1.1619912576014161e-05,8.898600321186615e-06,8.620872277819623e-06,7.034275303270782e-06,2.1387699035692487e-05,1.9116519810451906e-05,2.2229142364105158e-05,1.7577511740749095e-05,1.1860100807528581e-05,1.2554784712940122e-05,6.889231699888416e-06,1.0915887396746608e-05,1.099554082432078e-05,1.13e-06
TD01GL001065,4.27396037623536e-08,4.9716776880107905e-08,1.703395738307855e-08,,,,1.8520772998483594e-08,3.0789949365881096e-08,2.3077982494156703e-08,5.785955086258222e-08,2.2360456154551997e-08,1.2446707746254946e-07,,,,9.83797506139733e-08,1.0457938336400181e-07,1.1020274426434134e-07,
TD01GL001067,5.2178101990622245e-08,2.3920118147305905e-08,8.59181306373284e-08,3.9610385145736333e-07,3.721985429125308e-07,4.0217417767378704e-07,1.391435093585583e-07,1.9423049639753857e-07,2.3966365991626974e-07,8.219576295165754e-08,1.7630538915392897e-07,1.3703181652879878e-07,5.436318407605692e-07,3.738353901166545e-08,2.8744024383561294e-08,3.0753811658446735e-07,9.655543705704448e-08,4.0969487556240635e-08,
TD01GL001068,,,,,,,7.600386127894131e-10,8.847075177164239e-09,5.846099025276561e-09,2.0766774063110834e-08,5.064766467046676e-08,2.5392195831201322e-08,,,,,,,
TD01GL001069,2.5357405304360964e-08,1.866376271901949e-08,1.4051346381551175e-08,,,,4.313610610315747e-09,3.541489227138292e-09,1.3957434327119489e-08,,,,,,,,,,
TD01GL001071,2.0523560534893922e-08,1.9805409724478982e-08,4.7854022134098014e-08,,,,3.9530971370582815e-09,1.4257557473522624e-08,1.792264114290363e-08,2.5939019446735944e-08,3.371969039947693e-08,6.108608568693933e-08,6.783075853287744e-08,1.6673011924167993e-08,9.007443879593044e-09,4.554710183085614e-08,2.205390854019825e-08,2.008091107534637e-08,
TD01GL001072,1.495209102917378e-08,2.7947052233861756e-08,3.580015587183258e-08,,,,2.8356295907345845e-09,7.851035160731174e-09,5.8870913654597524e-08,1.6686339024996723e-08,4.5862017247014904e-08,9.947353489077731e-08,7.087929884332316e-08,3.8881604123659495e-08,8.398533115783536e-09,8.65113722720572e-08,3.31739744873169e-08,1.9614109711945355e-08,
TD01GL001074,6.740202282652033e-09,1.0667719917643715e-08,3.136821577951927e-08,,,,,,,2.162378962623513e-08,3.8643141489040864e-08,5.7188689302060664e-08,,,,3.3663177391910725e-08,7.955528543650679e-09,1.611842934953315e-08,
TD01GL001075,1.652247842000654e-07,1.623527256738928e-07,2.510294929029951e-07,,,,3.8900888359209206e-08,5.50913108419636e-08,5.938368268625969e-08,1.6470609117687473e-07,2.7645739426409285e-07,3.645160231988672e-07,2.6420293218523636e-07,1.30811383226906e-07,1.6416150040131981e-07,1.449316200905566e-07,3.1653697750449403e-07,1.897210679456059e-07,
TD01GL001076,1.5077524084332296e-08,2.5181733680991174e-08,2.5775267206416887e-08,,,,,,,1.5697715069080114e-08,3.7911670477281635e-08,5.4707278764315545e-08,,,,5.6990207581347735e-08,1.6581207827886437e-08,4.020061924724744e-09,
TD01GL001078,2.937867194166884e-05,2.510022719027557e-05,2.1496928065890148e-05,1.0575014103063614e-07,5.064517252022316e-08,6.126252223373022e-08,2.9477667966416485e-08,3.1270373507385664e-08,3.8049080230631465e-08,1.5369107603448607e-05,1.5208036530191114e-05,1.5914331535817554e-05,1.8285749103351895e-05,1.291123877373428e-05,1.9337719719845297e-05,8.077853755188464e-06,1.6501106326109904e-05,1.982642009434064e-05,
TD01GL001079,6.378014377121418e-07,6.12235327981145e-07,6.804329081337893e-07,,,,,,,3.366066478392438e-07,5.561678656497621e-07,2.753713507877223e-07,4.6602408620440476e-07,5.541730157089758e-07,3.911753957329882e-07,2.496498947382411e-07,5.399774900775147e-07,3.635954954765964e-07,
TD01GL001080,4.5662390803423856e-07,3.172964125770052e-07,3.6535331290389964e-07,,,,,,,2.0617700105255978e-07,4.964405347377432e-07,1.466643439683361e-07,2.007024054533683e-07,2.0252589379271458e-07,8.733714270595117e-08,9.359897427589466e-08,1.305741258676413e-07,6.544774014384287e-08,
TD01GL001081,7.893613723848963e-06,6.753783172133032e-06,9.367893585485387e-06,2.0421202615765582e-08,1.176815514474433e-08,2.1695628764852173e-07,1.9874318281162358e-08,3.3152785409372016e-08,3.4868767752878626e-08,4.541547873833384e-06,5.510483490813498e-06,5.8502898940925965e-06,3.961606113357833e-06,5.350482620590493e-06,4.26343291702671e-06,2.5220688664818227e-06,5.138399509163236e-06,5.682522279492336e-06,
TD01GL001082,5.8798333949982243e-08,8.366356976850247e-08,1.1415804164303815e-07,,,,1.2513158894106198e-08,1.826467232500771e-08,3.8604811953642225e-08,8.988564123617171e-08,1.5765476338565397e-07,2.191548320025711e-07,,,,,,,
TD01GL001083,1.965119340869064e-07,1.2151875438457154e-07,2.962039813286123e-07,1.2009897002653805e-08,1.937419450682925e-08,6.168590961839992e-09,3.351990430797148e-08,4.561872150100506e-08,5.411229864591788e-08,1.6317361477189983e-07,2.3215996807955127e-07,2.864799247069991e-07,1.2148405769444708e-07,5.129479429349048e-08,6.727453283275574e-08,6.964056556549267e-08,9.367956112573324e-08,3.108880889842987e-08,
TD01GL001085,4.851268186087361e-07,3.3554903798788247e-07,4.794344568230492e-07,1.5462787078229489e-07,1.9140078972823442e-07,1.421207421408814e-07,1.687816947001899e-07,2.3312640045970645e-07,2.3333150092803275e-07,6.67377670925824e-07,6.430916624606714e-07,6.576557916593797e-07,5.495974984962779e-07,3.7132821244188523e-07,4.128822825624881e-07,4.0846220742767737e-07,4.112253214016588e-07,3.3484388615330043e-07,6.440000000000001e-08
TD01GL001088,,,,1.0538027097896984e-08,5.2112352882390826e-08,4.486862556628423e-08,,,,,,,,,,,,,
TD01GL001094,,,,,,,4.2575160156734716e-09,3.570556281522709e-09,9.061465547604569e-09,6.587310817807124e-09,2.905032220507196e-08,6.111848971951685e-08,,,,7.911148823644551e-08,7.130615240442545e-09,1.2192881766683229e-08,5.94e-08
TD01GL001095,7.539878790363011e-08,6.954426538280945e-08,9.464762118977837e-08,,,,5.250071240541331e-09,1.8738288336792302e-08,1.668734476640053e-08,,,,,,,1.0187020279699076e-07,1.0818877389841242e-07,6.416707122852567e-08,4.05e-08
TD01GL001096,5.409720977171258e-06,3.273633364467223e-06,4.7015051392140816e-06,1.9111417422133475e-06,1.4613873993361167e-06,2.428620436383973e-06,6.3386381496597006e-06,5.83739802108843e-06,5.00517401487158e-06,3.380153288677429e-06,3.838568221206181e-06,3.7552248389965234e-06,5.078625535684747e-06,2.618921044479053e-06,3.953729284623389e-06,2.4269770461884074e-06,3.415352026923354e-06,3.9652067956118025e-06,7.27e-08
TD01GL001097,,,,,,,,,,,,,,,,,,,4.46e-07
TD01GL001098,1.4498996772184498e-05,1.3761478202275339e-05,1.1570306342491914e-05,5.524001119023199e-06,4.298654701854467e-06,5.461705039594331e-06,1.9636291985439234e-06,1.417783503255465e-06,1.2996187579495106e-06,1.0958154753796923e-05,1.2499931142205463e-05,1.7609418709775822e-05,6.7221691614193356e-06,8.362780096566268e-06,1.2073836946899703e-05,3.679089375629187e-06,1.2098446222104878e-05,1.1580664494189002e-05,1.05e-06
TD01GL001099,5.717799012847477e-07,5.151830019015196e-07,5.804515774300646e-07,,,,,,,2.7520578338490706e-07,4.760514317091559e-07,4.902133173773301e-07,5.54643137837044e-07,9.338240950604694e-08,9.960030467991194e-08,2.969715028990269e-07,9.649166582004143e-08,1.4136627363480255e-07,9.25e-07
TD01GL001100,1.9357845729958962e-08,4.4431045858763144e-07,5.2567726210145046e-08,,,,1.6147908136588692e-08,2.477426474106313e-07,2.413572529992022e-07,2.2617053132582057e-08,7.315747183182271e-07,1.3581582943402302e-08,,,,,,,
TD01GL001101,2.9940526686680834e-06,2.625853844159503e-06,2.9661709193191456e-06,8.580718488663396e-07,8.563128271355232e-07,9.401965648229136e-07,6.727148955148722e-07,7.777889053773194e-07,5.279531464791585e-07,2.331290882904962e-06,2.7253437125395364e-06,2.3288332638732894e-06,2.877992759641232e-06,1.4262350625069608e-06,3.3648734867849356e-06,1.519044312491228e-06,2.539561272620237e-06,3.674979598373836e-06,1.1900000000000001e-07
TD01GL001102,1.7280493710004134e-06,1.521404619977797e-06,1.6883266074015479e-06,1.1540234357577886e-06,1.1848204414180832e-06,1.0972039636981677e-06,5.84808905972185e-07,7.119781636014715e-07,6.976325981978186e-07,1.724236071244564e-06,1.8709982049213785e-06,1.937660215014729e-06,1.9517602666938663e-06,4.2600099468156425e-07,1.0605054139181554e-06,1.1661585005816757e-06,1.108882448170167e-06,7.50677002875842e-07,2.85e-07
TD01GL001103,2.836415244676398e-07,2.0269604656416744e-07,3.250836538246083e-07,2.2072698639710153e-07,1.7541086586069063e-07,2.5052999062970645e-07,4.623007753295481e-08,1.1628484553067942e-07,1.0466380417699786e-07,2.0590960737496754e-07,3.1858130786730797e-07,4.1028791398790533e-07,3.8567955137644617e-07,2.4159021294887665e-07,1.7472491092567574e-07,1.7990319524993897e-07,3.0037148669095334e-07,2.1254838325888677e-07,9.240000000000001e-08
TD01GL001104,9.973157186050402e-08,8.582557016123171e-08,3.0254788870959913e-07,2.369917399205453e-07,2.149051231859868e-07,1.908884405432955e-07,5.8819848955099725e-08,8.84847148727771e-08,8.0507153900146e-08,1.2895241708783671e-07,1.8909289090787983e-07,2.5574602776733587e-07,3.419761106352472e-07,1.146470053804066e-07,5.932897752864958e-08,2.191401041339052e-07,6.83602237732812e-08,8.027593700864903e-08,
TD01GL001106,3.4253021166320596e-08,1.3464066208787967e-08,8.329555537533107e-08,,,,6.815109462420204e-08,8.57667820800124e-08,9.804414190439547e-08,3.691587137139656e-08,2.650351352700823e-08,3.2233103546570923e-08,,,,,,,
TD01GL001107,1.3858603334633506e-05,1.132059934242991e-05,1.1388451112019918e-05,1.6669308331381911e-06,1.2057875790329501e-06,1.5117663161772248e-06,3.575379199317394e-06,2.9920008715385357e-06,2.4076312703273174e-06,1.362006755996829e-05,1.1937102964255079e-05,1.3792681635781718e-05,1.2421876711832748e-05,9.0691041772355e-06,7.965220390865723e-06,5.28794575384792e-06,8.295906711732418e-06,8.145175739346624e-06,8.620000000000001e-07
TD01GL001108,3.005222571337886e-07,2.922423191545793e-07,4.771437084761841e-07,6.57373816114759e-08,1.1127714094849719e-07,8.103644149919836e-08,5.022039257465155e-08,1.0575010310611798e-07,1.059558686093987e-07,3.644431721517109e-07,3.439282653127228e-07,6.18401925615179e-07,3.902550930416859e-07,1.8576271585882332e-07,8.04375874554008e-08,2.4696401749630275e-07,1.518266922010463e-07,8.34997029055022e-08,
TD01GL001109,5.627854912729559e-07,5.795943357083587e-07,6.229120193396227e-07,1.445659238802373e-07,1.9971116961953119e-07,1.792111625137329e-07,1.6629700183493358e-07,2.3641611748353095e-07,2.936516750957107e-07,7.124610640810924e-07,8.670634511411986e-07,1.065819930057482e-06,8.440705428684534e-07,3.468758093093693e-07,1.4371715312305143e-07,4.878090027024114e-07,3.11730995016146e-07,1.407279952458542e-07,8.84e-08
TD01GL001110,1.4669095683513807e-05,1.2871267717357998e-05,1.116157409666394e-05,3.173960384836352e-06,2.511027321783425e-06,3.534099326586132e-06,5.294016206710195e-06,3.938828653953203e-06,3.628996133065448e-06,1.1765742137941543e-05,1.377890785862724e-05,1.4193626379327197e-05,1.067598519742614e-05,8.766688188287978e-06,8.554718210807961e-06,4.259774372712811e-06,9.276002091550664e-06,1.029126367583547e-05,1.32e-06
TD01GL001111,,,,,,,3.443796737074791e-09,1.5193621816550096e-08,1.3948719344468455e-08,,,,,,,,,,
TD01GL001113,1.0042359680948902e-07,1.0921728547635449e-07,1.3892989177054846e-07,9.595438585179602e-08,6.806722915773072e-08,7.428444070127096e-08,1.119212840651976e-08,3.1083683509849205e-08,3.3059609805948015e-08,1.4721291179245777e-07,2.0635749508327937e-07,2.2142068388072368e-07,2.0663976517183437e-07,1.2859590089836823e-07,5.447122494635735e-08,1.2212015883951156e-07,1.228015566750834e-07,5.522536156040068e-08,
TD01GL001114,5.397064273206421e-06,4.444092463130362e-06,5.178962738077463e-06,4.014969176204112e-07,2.9188747904977596e-07,8.796551664428429e-07,6.23832152069781e-07,7.743967065335018e-07,5.178988234340363e-07,4.149090661569327e-06,4.824980257987521e-06,4.726825105877806e-06,2.9201346591195975e-06,2.7999847077087938e-06,3.1724608857093494e-06,7.979111975975541e-07,2.3967373051427598e-06,1.385324714085868e-06,1.3900000000000001e-07
TD01GL001115,2.438232907209911e-07,2.0568542357382306e-07,3.061783215561677e-07,2.616295395653266e-08,5.9209612354805895e-09,9.428441886548699e-09,1.3824528663819005e-07,2.174352711584753e-07,2.152066323157625e-07,2.8994589996430564e-07,4.3568383792760446e-07,4.106571882777283e-07,1.7222054809411888e-07,1.187812325920153e-07,2.1006703545480089e-07,1.2680375645657542e-07,3.1324490907181403e-07,1.712722278051323e-07,1.04e-07
TD01GL001116,4.468658229810602e-06,3.1848542874953564e-06,4.030455992953245e-06,1.2141544755171177e-07,8.243897354054499e-08,7.729016249660845e-08,2.7095227529141673e-07,3.7679686169543627e-07,3.6711747665743386e-07,2.993550901676646e-06,3.3616194260276024e-06,3.392185677728653e-06,1.5689657476944485e-06,2.7522180241808714e-06,3.1686523887451945e-06,1.2482390681730323e-06,2.496201595422566e-06,3.884794284655698e-06,4.49e-07
TD01GL001117,4.278703115085206e-08,3.648385472726145e-08,8.735151275126714e-08,2.2174993624651597e-08,1.387634749061822e-08,2.6635321427618637e-08,8.364040518534624e-09,1.573967936361048e-08,3.3996737093305975e-08,5.1294132034851784e-08,1.1436143449248065e-07,9.08073077738204e-08,5.999633146818484e-08,3.436450029129752e-08,5.48745025154906e-08,5.675168728759549e-08,1.1568869566228068e-07,2.1254416289038025e-08,
TD01GL001118,8.059354198999092e-08,2.7700988311253414e-08,8.80779758488733e-08,8.943629674490119e-08,7.315235952207467e-08,1.7347426359279366e-07,1.4222687389455638e-08,3.802079943291273e-08,3.319794566747643e-08,3.504745155893133e-08,8.552888853202257e-08,6.360035143481616e-08,1.203703315591876e-07,36.0,3.940342762933323e-08,1.0571965746449207e-07,7.752263186299367e-08,6.073456906197888e-08,
TD01GL001119,1.88358751459344e-06,1.824531605869181e-06,2.2067476675139667e-06,1.4037033407985111e-06,1.1634974799968026e-06,1.3041824428454731e-06,6.707126496606371e-07,8.198671073439704e-07,7.389219896858017e-07,2.451032243538626e-06,2.7476836379505224e-06,2.95973562292695e-06,2.3595153826179085e-06,1.7186122330109258e-06,1.4316489591554985e-06,1.3169733172235012e-06,1.9744801973671858e-06,1.6650923293000781e-06,1.77e-06
TD01GL001120,1.5815007112720732e-07,2.1886492855852648e-07,1.4909458096728133e-07,8.877463757599504e-08,1.2857342522661713e-07,1.2008512947167183e-07,2.6471938747091884e-08,5.368493956231124e-08,5.151793578719567e-08,1.799289328779376e-07,1.8572206258044573e-07,1.7211604428613663e-07,2.4808481904525935e-07,1.7370786108040445e-07,1.7631668171326586e-07,1.7304504587652452e-07,1.820672463863218e-07,7.257315498578584e-08,6.86e-08
TD01GL001121,3.2163108379089848e-06,4.694716086487898e-06,3.373657171760765e-06,,,,6.644974675293385e-07,9.062488227195221e-07,9.375149550063834e-07,3.5581655378306766e-06,3.495832896250294e-06,4.423742114933912e-06,9.919996311533456e-07,3.8634195078348305e-06,2.5285737390471716e-06,5.887993025117937e-07,3.3913767182965423e-06,1.8641917133089684e-06,8.67e-07
TD01GL001122,7.211494362683393e-08,5.667582257405377e-08,1.081504020744207e-07,7.411326653907839e-08,7.92966479805774e-08,5.6709924675685056e-08,1.3836208134735173e-08,2.847494339488837e-08,2.742193488234e-08,9.916679848316158e-08,1.3565151515515872e-07,1.507609112529728e-07,1.0675000343023651e-07,8.759861781731124e-08,8.423460084997107e-08,8.940375583711132e-08,1.8134420325078296e-07,5.5035486079436694e-08,
TD01GL001123,2.844133693633918e-07,4.73666266921307e-07,5.464566098583988e-07,5.3244275449115565e-08,5.884763917572089e-08,5.78087301323273e-08,3.388838333393936e-08,1.2849012327660092e-07,9.626867519505166e-08,4.2139407894926735e-07,4.269996155318796e-07,6.089622852847032e-07,,,,2.4823884546473987e-07,3.2569175841889345e-07,4.276539683137127e-07,
TD01GL001124,,,,4.21389293851633e-08,3.299611993698693e-08,4.2308363492274437e-08,,,,,,,,,,,,,
TD01GL001125,1.9076806641937197e-08,3.3081145264477984e-08,3.883694785951144e-08,,,,,,,1.6742165978794532e-08,6.349044790795058e-08,5.428639544454958e-08,,,,,,,
