,NACL60,NACL20,NACL100,HN,Fermentation_9h,Fermentation_19h,Fermentation_30h,MU
TD01GL000947,5.716439415602692e-07,,4.3441383276527316e-07,1.1265848063075666e-06,1.9090626107828306e-06,6.022403081241626e-07,2.618502332602542e-07,
TD01GL000948,5.287652072095821e-07,,1.3670893289437145e-07,1.0329748648603997e-06,5.046293864101303e-07,2.2832821286420186e-07,1.2180521633406854e-07,
TD01GL000950,2.7198575596170816e-06,2.3827532223758232e-07,4.944014530651947e-07,3.7374160920406e-06,2.775524938644456e-06,2.1208946171968366e-06,4.285016262138626e-06,
TD01GL000952,1.8514788468829293e-07,,1.910918035278409e-08,3.649107881610616e-07,1.4917459381136592e-07,3.2744531729365e-07,2.1820262398256208e-07,
TD01GL000965,1.3764898856627279e-07,,3.6557464773707446e-08,1.471717065962252e-07,,,,
TD01GL000966,1.3089647023825617e-07,4.4413178980019455e-08,3.1215018740418145e-08,1.772138667524928e-07,,,,
TD01GL000967,6.488090072068287e-08,,,8.835572162171489e-08,3.026415053765977e-08,1.5090563755922518e-07,1.487190120876055e-07,
TD01GL000971,4.742644758672963e-08,,,1.0366859841327427e-07,2.9444618036350102e-08,9.12588105448253e-08,9.010349230509032e-08,
TD01GL000972,2.4960678626454894e-07,,2.4352366245720032e-08,3.596153200430384e-07,2.833194280015524e-08,1.0338110371641563e-07,3.868809521289884e-08,2.89e-07
TD01GL000973,1.5423097543175547e-08,,2.5158855339481697e-09,,,,,
TD01GL000975,1.9397074928249888e-07,,1.599234867715661e-08,2.4910493822130837e-07,1.1579093373167458e-07,2.175093557565725e-07,5.35068862536373e-08,
TD01GL000976,5.4252163778051495e-08,,,,,,,
TD01GL000979,5.916840918137085e-08,,5.007939259474376e-09,6.149801976889746e-08,4.258298536931844e-08,6.047736031723184e-08,1.2119137540514968e-07,
TD01GL000981,2.0324025455382216e-08,,,3.674922017520621e-08,,,,
TD01GL000983,,3.364753998666195e-08,1.9980615306986996e-08,5.7152182154784637e-08,9.782535584009549e-08,3.923238948165206e-08,4.652018156116726e-08,
TD01GL000985,,2.192323387835774e-07,,,,,,
TD01GL000988,1.4763495434265247e-06,8.285466988283813e-09,1.717093008269755e-07,1.7449998642449303e-06,7.626773320519985e-07,4.2055560041197557e-07,2.9647059961205554e-07,1.12e-06
TD01GL000990,1.0210559259989546e-06,,1.604273868750326e-07,1.8286096045964078e-06,8.13617342840325e-07,4.85085988965013e-07,3.4942118613008147e-07,3.0399999999999997e-07
TD01GL000991,3.1865448660204578e-06,8.82151991877748e-08,4.192702230317614e-07,3.2843131916310033e-06,1.8951493706571794e-06,2.217699383613849e-06,2.5420131303017923e-06,8.06e-07
TD01GL000992,4.413365595375218e-06,5.0390463096787625e-08,6.248360526646944e-07,4.7976829437452224e-06,3.162314047984361e-06,3.1278367293195687e-06,3.0655998345657366e-06,7.620000000000001e-07
TD01GL000994,1.9343455986610127e-07,4.052567563909331e-08,1.0045379692104699e-07,2.7335841073747036e-07,4.6797984261852203e-07,1.647166671730102e-08,1.480724651988455e-07,7.25e-08
TD01GL000995,2.834532714804015e-07,2.447163345477253e-08,8.58217237608344e-08,3.1476866993678874e-07,2.506352029244346e-07,2.3917320993368144e-07,1.8107323771769484e-07,1.6e-07
TD01GL001000,,2.543161902479903e-08,,,,,,1.5e-07
TD01GL001002,1.3272739788193833e-06,1.3655519991892278e-07,6.161378422768924e-07,1.5057017333220598e-06,1.521910096518286e-06,8.379257149953414e-07,1.158840842047474e-06,3.03e-07
TD01GL001003,3.3580392133579394e-07,,1.9236746908793234e-08,3.7269896936165937e-07,1.6620627985962283e-07,3.4195160118986926e-07,3.772689016914472e-07,
TD01GL001004,3.5249383525926194e-05,6.696354459449713e-06,7.580114554800104e-06,2.828929661920771e-05,1.840654356508259e-05,1.7625806832815204e-05,2.8132438934418767e-05,6.75e-06
TD01GL001005,5.344065658085322e-08,,,5.813185325728469e-08,,,,
TD01GL001006,4.9746201082988376e-05,1.0068087662782533e-07,2.8925056170256196e-06,3.265620076991543e-05,1.0777910526614816e-05,1.2928219950693102e-05,1.7537620127815165e-05,4.79e-07
TD01GL001010,5.8684569936944315e-06,7.8599414637118e-06,1.394388518622674e-06,7.039268248417425e-06,1.8277914273403713e-06,3.4623045567717536e-06,3.0659128053276903e-06,
TD01GL001011,1.4332537940933138e-06,1.0445696342659434e-07,3.355660885516934e-07,1.60116249303606e-06,9.505322154727375e-07,1.1400716330009506e-06,1.458283473812279e-06,2.0899999999999998e-07
TD01GL001016,7.073583039228947e-05,1.0964848083780098e-06,7.022941916811438e-06,5.44952134602058e-05,1.1813272340894441e-05,3.464453338425355e-05,4.65102447666232e-05,4.85e-06
TD01GL001017,2.1092583101734635e-06,,,7.820417429347729e-07,,,,
TD01GL001018,1.083043966506351e-06,1.1255468627448897e-07,2.0049962955906076e-07,1.2326822710575796e-06,4.0509429727588615e-07,5.393354040321718e-07,4.5995091323648553e-07,1.29e-07
TD01GL001020,,,,1.8709391579467628e-08,,,,
TD01GL001022,1.1495413547004067e-07,,1.935948079134201e-08,1.8107310803987131e-07,9.19930387698972e-08,1.2912620022615602e-07,1.0379714603512973e-07,
TD01GL001023,4.4521405632377993e-07,2.756375947839762e-08,1.7324098342838882e-07,5.039770330868256e-07,2.5402634714808755e-07,2.958698581115416e-07,3.7219191834981055e-07,
TD01GL001025,1.0818597816962559e-07,,2.0232491382297362e-08,1.3551864319263156e-07,8.4032156811857e-08,1.5210306674690412e-07,1.769081329511859e-07,4e-08
TD01GL001026,1.804594643213248e-07,,1.6621126367503397e-08,2.8014654400790683e-07,4.059246358648786e-06,8.928605593001719e-07,1.0312416769026055e-06,4.74e-08
TD01GL001029,5.115630495932598e-08,,6.682912383172976e-09,7.002236775463176e-08,4.0839663410735163e-07,2.2772351620447828e-07,1.173798612541575e-07,
TD01GL001031,3.773672400170871e-08,,,4.275766378669983e-08,4.362288206856916e-07,1.406236523512634e-07,1.3309790631994178e-07,
TD01GL001033,7.841302317224208e-08,,9.612538749931097e-09,1.0131630063183547e-07,5.323863810477904e-07,1.80402590480564e-07,1.3128141429998147e-07,
TD01GL001035,1.9288458176255288e-07,,7.441654802679646e-08,2.741551536638702e-07,1.1166382624763105e-07,1.7409688029659617e-07,2.1215643166452698e-07,
TD01GL001036,9.323993240864208e-07,8.295002254617326e-07,3.0054996021367215e-07,1.027407348964875e-06,1.2143978641848133e-06,1.2070088489989351e-06,1.3781222679271824e-06,1.14e-07
TD01GL001037,,,,,,,,1.7600000000000001e-07
TD01GL001038,1.7870160016853233e-06,1.5589375588180592e-06,6.309868163245451e-07,2.139222589189819e-06,2.207900063103849e-06,1.7763829859191168e-06,2.6418798088712493e-06,
TD01GL001039,3.9674039025892455e-07,4.0963168506291355e-07,1.265627247704202e-07,3.7644418284638696e-07,5.959307678515983e-07,6.646815788460424e-07,5.798989145299659e-07,
TD01GL001040,1.046831804014229e-08,,2.568020503108082e-08,5.305373520843171e-07,9.363635364077617e-09,2.349188863765463e-08,1.655920823266333e-08,5.520000000000001e-07
TD01GL001041,4.0022579459650614e-07,,4.732420636258777e-08,8.444019024409266e-07,3.059660887564514e-07,2.442611140815312e-07,3.167299555453914e-07,1.33e-06
TD01GL001042,1.3045704771394872e-08,,3.6928709105008682e-09,5.1848055205483916e-08,6.206560161116779e-08,1.5007488252105406e-07,1.2282816596821261e-07,
TD01GL001043,,8.75008369788874e-09,6.1402598330785896e-09,1.07988365194627e-07,1.0710722943751935e-07,1.547112342975962e-07,1.3674229129599714e-07,1.45e-07
TD01GL001044,1.931481130095976e-07,3.429040743393326e-08,4.329715563393584e-08,2.06288098598219e-07,2.0247953020938388e-07,2.114902959544284e-07,1.9619235093228497e-07,
TD01GL001045,2.2589886821421638e-07,,3.06030178002751e-08,1.5046255144934966e-07,3.9866638171767766e-08,9.059777534504792e-08,5.397402571063052e-08,
TD01GL001046,1.052693722650527e-07,6.473589998540655e-08,7.640002985472224e-08,1.514825348667626e-07,1.30350517954417e-07,1.2381909702607097e-07,9.084164791941345e-08,
TD01GL001049,4.776244951133614e-07,3.227707796064559e-08,1.039843722370211e-07,5.707871457111077e-07,2.722331372413154e-07,3.9166497960241524e-07,3.570326157688338e-07,
TD01GL001050,6.459726370262052e-07,2.091839497828112e-07,1.47805608918866e-07,2.6853030663896405e-07,,,,
TD01GL001051,3.9742961138890575e-07,2.14710504624126e-07,2.221966303196732e-07,4.945214576515992e-07,4.2512429780538413e-07,1.4996031834184036e-07,2.6583623920505494e-07,2.48e-07
TD01GL001052,1.2464176658479175e-06,,3.1204699035484124e-07,1.3241786080597407e-06,9.086147131409961e-07,1.0704875525710509e-06,1.0477794160102502e-06,4.02e-07
TD01GL001053,5.170894036120824e-06,1.0146936426351667e-06,1.5600268382770453e-06,6.155773901081991e-06,5.7631526390716e-06,2.8206796188492855e-06,2.711835587564218e-06,3.4e-07
TD01GL001054,,,,,,,,3.8100000000000004e-07
TD01GL001055,,,,,,,,1.1400000000000001e-05
TD01GL001056,9.89135555340259e-06,3.4270357164854883e-06,2.3767209013659398e-06,1.0428747272361277e-05,7.0192958105733055e-06,5.312578542652031e-06,6.381526574195357e-06,1.57e-06
TD01GL001057,1.6804643116756417e-05,4.513097722446797e-06,3.968040284960022e-06,1.882463503697194e-05,9.722382876585474e-06,9.67891228451362e-06,9.816567337039509e-06,1.03e-06
TD01GL001058,3.725984635322496e-06,1.1020719431070846e-06,1.3748335759937197e-06,4.291035054605338e-06,2.514121257401118e-06,2.5376692520014473e-06,2.8083159661505224e-06,3.51e-07
TD01GL001059,6.778685154862287e-06,2.222958605630668e-06,2.5083094541655805e-06,7.177678698802364e-06,4.4639445506624075e-06,3.379514850075296e-06,3.82369129374846e-06,1.14e-06
TD01GL001060,1.945848665493796e-05,5.933630677283375e-06,7.531684826862621e-06,1.8675258082244e-05,9.409514207263843e-06,9.31747416592368e-06,1.2144944066698869e-05,2e-06
TD01GL001061,1.820113575755496e-05,8.876506515709856e-06,7.164563058287377e-06,1.8931223992348028e-05,1.0770111972914604e-05,8.85438090649764e-06,9.866861373672605e-06,3.29e-06
TD01GL001062,2.1576222644301163e-05,1.0421664016737727e-05,8.184582634092339e-06,2.0911120403416516e-05,1.2233371720318756e-05,1.1387994102137595e-05,1.177516276863045e-05,1.13e-06
TD01GL001065,3.6496779341846687e-08,,2.41295682861738e-08,6.822902815989456e-08,,,,
TD01GL001067,5.400545025841885e-08,3.9015885734789377e-07,1.910125552241222e-07,1.3184432287812843e-07,4.2558497867251825e-07,6.696948803435496e-08,3.485675596990096e-08,
TD01GL001068,,,5.151070938410071e-09,3.226887818825964e-08,,,,
TD01GL001069,1.9357504801643877e-08,,7.270844721524509e-09,,,,,
TD01GL001071,2.939433079782364e-08,,1.2044431917828178e-08,4.0248265177717405e-08,5.668893018186679e-08,1.936346023218312e-08,1.4544177477469708e-08,
TD01GL001072,2.6233099711622706e-08,,2.318585946868776e-08,5.4007297054262976e-08,7.869533555769017e-08,3.60277893054882e-08,1.4006321413864445e-08,
TD01GL001074,1.625871265993834e-08,,,3.915187347244555e-08,,,,
TD01GL001075,1.928690009256511e-07,,5.11252939624775e-08,2.6855983621327824e-07,2.045672761378965e-07,2.2367418036570003e-07,1.7694128417346287e-07,
TD01GL001076,2.201150832391345e-08,,,3.610555477022576e-08,,,,
TD01GL001078,2.5325275732611516e-05,7.25526119281965e-08,3.293237390147787e-08,1.549715855648576e-05,1.318180142927018e-05,1.4706172549922092e-05,1.958206990709297e-05,
TD01GL001079,6.43489891275692e-07,,,3.893819547589094e-07,3.5783699047132293e-07,5.470752528932452e-07,3.773854456047923e-07,
TD01GL001080,3.797578778383811e-07,,,2.830939599195464e-07,1.471506898646315e-07,1.6655000983017794e-07,7.639244142489703e-08,
TD01GL001081,8.005096827155794e-06,8.304854846967721e-08,2.9298623814471e-08,5.300773752913159e-06,3.2418374899198278e-06,5.244441064876865e-06,4.972977598259523e-06,
TD01GL001082,8.553998178717429e-08,,2.3127547724252046e-08,1.5556507887479892e-07,,,,
TD01GL001083,2.047448899333634e-07,1.251756082377435e-08,4.441697481829815e-08,2.2727116918615005e-07,9.556231162996988e-08,7.248717770961186e-08,4.9181670865592806e-08,
TD01GL001085,4.3337010447322257e-07,1.6271646755047023e-07,2.1174653202930972e-07,6.56041708348625e-07,4.790298529619776e-07,3.91276766921772e-07,3.7386308435789424e-07,6.440000000000001e-08
TD01GL001088,,3.5839668515524013e-08,,,,,,
TD01GL001094,,,5.629845948266916e-09,3.225204091413198e-08,,,,5.94e-08
TD01GL001095,7.98635581587393e-08,,1.3558568114578053e-08,,,,,4.05e-08
TD01GL001096,4.461619826950854e-06,1.9337165259778126e-06,5.727070061873236e-06,3.6579821162933782e-06,3.752801290936577e-06,3.017136535701204e-06,3.959468040117595e-06,7.27e-08
TD01GL001097,,,,,,,,4.46e-07
TD01GL001098,1.3276927105650584e-05,5.094786953490665e-06,1.5603438199162996e-06,1.368916820192607e-05,5.200629268524261e-06,1.0230613159335573e-05,1.1827250720544353e-05,1.05e-06
TD01GL001099,5.558048268721107e-07,,,4.138235108237977e-07,4.258073203680355e-07,9.493703766304418e-08,1.2048328915735725e-07,9.25e-07
TD01GL001100,1.7207867684257848e-07,,1.6841593618214072e-07,2.5592445146473715e-07,,,,
TD01GL001101,2.8620258107155774e-06,8.848604136082588e-07,6.594856491237834e-07,2.461822619772596e-06,2.19851853606623e-06,1.9828981675635987e-06,3.5199265425793857e-06,1.1900000000000001e-07
TD01GL001102,1.6459268661265861e-06,1.1453492802913464e-06,6.648065559238251e-07,1.8442981637268905e-06,1.5589593836377709e-06,7.674417214258656e-07,9.055912083969988e-07,2.85e-07
TD01GL001103,2.704737416188052e-07,2.155559476291662e-07,8.905957574687736e-08,3.11592943076727e-07,2.8279137331319256e-07,2.70980849819915e-07,1.9363664709228127e-07,9.240000000000001e-08
TD01GL001104,1.6270167691044497e-07,2.1426176788327584e-07,7.593723924267427e-08,1.9126377858768414e-07,2.8055810738457623e-07,9.15036145768439e-08,6.98024572686493e-08,
TD01GL001106,4.3670880916813205e-08,,8.39873395362033e-08,3.188416281499191e-08,,,,
TD01GL001107,1.2189217929694445e-05,1.4614949094494553e-06,2.9916704470610827e-06,1.3116617386668362e-05,8.854911232840334e-06,8.682505444483958e-06,8.055198065106173e-06,8.620000000000001e-07
TD01GL001108,3.5663609492151733e-07,8.60169880197238e-08,8.730878809672274e-08,4.4225778769320426e-07,3.186095552689943e-07,1.6879470402993481e-07,8.19686451804515e-08,
TD01GL001109,5.884306154403123e-07,1.744960853378338e-07,2.321215981380584e-07,8.817814817599244e-07,6.659397727854324e-07,3.293034021627576e-07,1.422225741844528e-07,8.84e-08
TD01GL001110,1.2900645832511915e-05,3.0730290110686367e-06,4.287280331242949e-06,1.3246092125298658e-05,7.467879785069475e-06,9.02134513991932e-06,9.422990943321715e-06,1.32e-06
TD01GL001111,,,1.0862045966031115e-08,,,,,
TD01GL001113,1.1619025801879732e-07,7.943535190359924e-08,2.5111807240772326e-08,1.9166369691882028e-07,1.6437996200567296e-07,1.256987287867258e-07,5.484829325337902e-08,
TD01GL001114,5.006706491471415e-06,5.243465210376768e-07,6.38709227345773e-07,4.566965341811551e-06,1.8590229283585758e-06,2.598361006425777e-06,2.2788927998976086e-06,1.3900000000000001e-07
TD01GL001115,2.5189567861699396e-07,1.383745235952065e-08,1.902957300374759e-07,3.787623087232128e-07,1.4951215227534716e-07,2.1601307083191466e-07,1.906696316299666e-07,1.04e-07
TD01GL001116,3.894656170086402e-06,9.371486119628841e-08,3.3828887121476227e-07,3.2491186684776333e-06,1.4086024079337404e-06,2.624209809801719e-06,3.5267233367004463e-06,4.49e-07
TD01GL001117,5.554079954312688e-08,2.089555418096282e-08,1.9366818991817026e-08,8.548762476705094e-08,5.837400937789017e-08,7.50265979767891e-08,3.806445940226431e-08,
TD01GL001118,6.545750205003921e-08,1.1202097328658984e-07,2.8480477496614935e-08,6.139223050859003e-08,1.1304499451183982e-07,36.0,5.0068998345656056e-08,
TD01GL001119,1.9716222626588624e-06,1.2904610878802624e-06,7.43167248896803e-07,2.719483834805366e-06,1.8382443499207048e-06,1.8465462151890557e-06,1.5483706442277884e-06,1.77e-06
TD01GL001120,1.753698602176717e-07,1.1247773075809467e-07,4.3891604698866265e-08,1.7925567991484e-07,2.1056493246089193e-07,1.7788755373336312e-07,1.2444491834952584e-07,6.86e-08
TD01GL001121,3.761561365385883e-06,,8.36087081751748e-07,3.825913516338294e-06,7.903994668325697e-07,3.627398113065686e-06,2.19638272617807e-06,8.67e-07
TD01GL001122,7.898038942510281e-08,7.003994639844695e-08,2.324436213732118e-08,1.285264082970977e-07,9.807687963367392e-08,1.344714105340471e-07,6.963504346470389e-08,
TD01GL001123,4.348454153810326e-07,5.6633548252387923e-08,8.621572726853066e-08,4.857853265886167e-07,,,,
TD01GL001124,,3.9147804271474885e-08,,,,,,
TD01GL001125,3.0331633255308875e-08,,,4.4839669777098235e-08,,,,
TD01GL001126,1.3925219712698255e-06,3.4907250408914807e-07,3.399107989458432e-07,1.2452064350875621e-06,7.380085100791926e-07,5.32030089459668e-07,4.293767109850143e-07,1.0099999999999999e-07
TD01GL001127,5.745970918875383e-07,2.5801145509930255e-07,1.3189421951316764e-07,6.171529003189995e-07,6.059216614531297e-07,3.516651083481301e-07,3.3188801940993134e-07,6.82e-08
TD01GL001128,2.1981435651804935e-07,1.0770815550011845e-07,,,2.992794295780005e-07,2.4259013076652056e-07,1.4223350035466496e-07,
TD01GL001130,2.3946978911985007e-07,,2.8566642772015143e-07,2.306142457092917e-07,2.6209771785087776e-07,2.572913573478719e-07,3.2299265371202325e-07,
TD01GL001131,1.993706361348658e-07,,1.13275470626333e-08,1.957680590018023e-07,4.223346260430008e-07,1.920606410990605e-06,2.4328108381823204e-06,
TD01GL001134,4.7411569532591765e-07,2.493946232719283e-07,1.6504495253197665e-07,5.283731500312261e-07,3.725254733874367e-07,2.609879569368554e-07,1.642135830220033e-07,
TD01GL001135,1.7191202018567163e-06,2.485505516001097e-07,6.288969572359862e-07,2.0974562509382048e-06,1.3228816689765372e-06,1.3050553798516722e-06,1.2444305200123655e-06,1.53e-07
TD01GL001136,1.307265579307549e-07,3.845583234168056e-08,4.6363168960658265e-08,2.1762547687685555e-07,,,,
TD01GL001138,6.642469361880312e-08,6.579279797579637e-08,1.824892909689757e-08,8.856904154697462e-08,,,,
TD01GL001149,,,2.2164234491936342e-08,,,,,
TD01GL001153,3.362545868863601e-07,,3.8462491206147224e-08,3.443089867586599e-07,6.209545097795497e-08,5.79193339843846e-07,4.203618644313901e-07,
TD01GL001154,1.6995837538711002e-06,,8.192963558730604e-07,2.3963037445187457e-06,9.756600070007495e-07,1.2036219733293791e-06,2.6112947335758792e-06,
TD01GL001156,,5.710629969295411e-08,8.545078396069406e-08,5.765950119578665e-08,2.7770705569156654e-07,1.3678160648381806e-07,1.6792363844288473e-07,
TD01GL001158,6.419365621182275e-07,1.625114639083066e-07,2.353412283082887e-07,7.334106969505491e-07,6.052335490352281e-07,4.955357844545809e-07,4.6929778134386636e-07,1.71e-07
TD01GL001163,5.73573802337208e-08,,1.2392628072110526e-08,4.3335591522924926e-08,9.263198985571364e-08,5.708894475469762e-08,5.201216789161888e-08,
TD01GL001164,1.4148068350347976e-07,1.0443279783329441e-08,2.055477666840258e-08,2.1338447180243678e-07,1.0723357778981483e-07,1.518333173877256e-07,1.464984311734175e-07,
TD01GL001165,6.298744428888227e-08,,1.2337378588761618e-08,5.862047785300303e-08,,,,
TD01GL001166,1.27182913182196e-07,,5.772818496654173e-08,1.2803117646464243e-07,1.7851325213242023e-07,1.4041878829315795e-07,3.725056666682181e-08,
TD01GL001167,4.3960277816383365e-07,2.60913912839176e-07,8.971538049874827e-08,4.1929761665980694e-07,4.007014538597445e-07,4.648244452454777e-07,4.2652089979236974e-07,1.41e-07
TD01GL001168,3.7085417384868383e-06,1.189493555106301e-07,3.314983278862157e-07,3.6692226549375462e-06,1.9859089035553967e-06,2.3820886813554357e-06,3.6011044438768496e-06,2.81e-07
TD01GL001169,6.763809793749128e-05,1.8033976800434424e-06,4.333561998923689e-06,5.7908496697131973e-05,1.2418335852943135e-05,3.5447888509296676e-05,6.366658466183892e-05,4.62e-06
TD01GL001170,2.332044885704054e-06,7.562297602695597e-08,2.324799716419083e-07,3.707067893045399e-06,1.228108271755526e-06,1.0456984468178328e-06,7.82784188366904e-07,2.2699999999999998e-07
TD01GL001171,1.185567124525185e-06,,3.023621245376122e-08,1.0265756285054152e-06,8.40088244483165e-08,4.1115700650268036e-07,6.328891405937317e-07,1.8399999999999998e-07
TD01GL001172,2.0056621864112445e-07,1.2057826783365496e-07,6.249760447454668e-08,2.0276200697049776e-07,1.7543461263574855e-07,1.6599468005235627e-07,1.2149395608806127e-07,
TD01GL001173,,,,,,,,1.57e-07
TD01GL001174,1.1996017545328033e-07,6.636499784557057e-08,4.5784561608819144e-08,1.2852972403239237e-07,,,,
TD01GL001175,6.607302155274248e-07,2.9593535057865406e-07,3.2618198754899623e-07,7.603279886791859e-07,6.033750114793691e-07,4.900792954755324e-07,5.246283862165176e-07,9.75e-08
TD01GL001176,5.85139814773911e-07,2.125470213337699e-07,2.165670529142307e-07,6.794446231946616e-07,4.523705703515046e-07,3.233289510019985e-07,2.7505403282240926e-07,2.16e-07
TD01GL001177,8.411127327639765e-08,,2.191001157986473e-08,4.7820412398702564e-08,7.376768009433663e-08,7.110005211665377e-08,6.33784507157599e-08,
TD01GL001178,1.7775732793815071e-06,3.007955443259737e-07,2.670817144862613e-07,1.7321056053839516e-06,7.412898291470016e-07,8.048984033542682e-07,9.220479448837824e-07,6.67e-08
TD01GL001179,1.541537081844794e-06,2.7549679965176976e-07,5.05502181661653e-07,1.9106654922416076e-06,1.3313047268274043e-06,9.368287877984784e-07,1.0453419733517619e-06,
TD01GL001180,1.8534023848819816e-06,9.32540378294002e-07,6.127439464812087e-07,1.991107580437087e-06,1.6341729966858932e-06,1.1573615053452745e-06,1.1724174919597447e-06,2.0199999999999998e-07
TD01GL001181,5.108826038599003e-07,1.1170911442859587e-07,1.9234794893788138e-07,5.826770071183606e-07,5.179369648164172e-07,4.5865587038333456e-07,5.250258848260723e-07,
TD01GL001182,,,,,,,,6.4e-08
TD01GL001183,2.3030181974808145e-05,1.9116373602480734e-05,1.0110325500306621e-05,2.2193310148754294e-05,1.8253072003190207e-05,9.95232325634635e-06,1.1690607010887023e-05,3.4e-06
TD01GL001184,,,,,,,,1.54e-07
TD01GL001185,,1.568297925348423e-08,,1.362598084112377e-07,,,,
TD01GL001186,7.714739776318795e-07,1.4442508099164132e-07,1.2636329212860647e-07,9.861914841391173e-07,3.5935221307189e-07,5.452006340123468e-07,4.6675085802577813e-07,1.24e-06
TD01GL001187,1.101844153168464e-07,2.8721276065289265e-08,2.2910869245477878e-08,1.5864203191576375e-07,1.2028723800015182e-07,1.299747606741188e-07,1.007730728329599e-07,
TD01GL001188,9.752988799909217e-08,3.97298294969365e-08,2.892239113544973e-08,1.3656726437009303e-07,8.44632363119074e-08,6.453595411177954e-08,4.824667448432414e-08,
TD01GL001189,3.7856200337653366e-07,2.0648593024353653e-07,1.4266937567295852e-07,4.7687652213698e-07,3.407110430146478e-07,3.6393764994741076e-07,2.793695522063886e-07,
TD01GL001190,,,3.4314191687945244e-09,,,,,
TD01GL001191,2.225458365963894e-07,,4.453740209684893e-08,2.4094031939433167e-07,4.0193479749589383e-07,3.6703381689990506e-07,2.231534696131452e-07,
TD01GL001192,1.0313126235091264e-07,,3.990484492437068e-08,1.8780016016073927e-07,9.297805355979214e-08,8.608873906130452e-08,7.980503604723222e-08,
TD01GL001193,1.125215946292255e-06,9.393632298799572e-07,4.4495650118804597e-07,1.4665760790333176e-06,1.332829265210236e-06,1.2220811085679108e-06,9.605431368879094e-07,
TD01GL001194,3.48732978737401e-05,1.833288981144154e-05,1.081173348319185e-05,3.793498687284567e-05,1.9389412063782977e-05,1.851507978787785e-05,2.0138304875793735e-05,1.9e-06
TD01GL001195,8.246318069199455e-06,8.965539957053262e-07,1.880031965107782e-06,5.608865078436498e-06,4.201103814761827e-06,5.4936650003174244e-06,7.828842463558776e-06,1.8100000000000002e-07
TD01GL001196,6.939208937923286e-08,3.1996464272616164e-08,6.34819024826372e-08,4.714399195250982e-08,6.545431990967391e-08,8.299849441753828e-08,2.7430081709744283e-08,
TD01GL001197,3.009848921519312e-08,,,,,,,
TD01GL001200,1.3367520061781016e-05,1.8424966572949225e-06,2.4179446364164157e-06,1.549299170542289e-05,3.955666788501758e-06,8.093398727825939e-06,9.324763515314345e-06,
TD01GL001204,7.933520846311942e-07,1.1523246753563557e-07,1.643274016651874e-07,8.147934184692126e-07,3.348233688007966e-07,5.051324965534022e-07,9.370681513024457e-07,
TD01GL001205,,,,2.754182584725985e-07,,,,
TD01GL001206,7.117503623401582e-05,7.518872722144859e-06,9.908922691416511e-06,5.707927152779409e-05,1.3401826620899998e-05,3.469749318672924e-05,5.327013469999456e-05,1.35e-06
TD01GL001207,,8.531487286347503e-08,1.1061029866453097e-08,,,,,
TD01GL001208,8.796732758974728e-08,2.2847694539005018e-08,1.1088139352484457e-08,9.13561931043912e-08,5.623777884061309e-08,6.752552862124315e-08,7.554450586853208e-08,
TD01GL001209,4.377555337635424e-08,,,4.158430592763804e-08,5.957727574615326e-08,1.0582042026288156e-07,1.0242371000442725e-07,
TD01GL001210,1.2013057457634832e-07,,4.963119850768746e-08,1.5597962413565848e-07,1.4616531800871528e-07,1.421046464063785e-07,1.176384698572439e-07,
TD01GL001211,4.608064833080501e-06,7.984569634102396e-08,1.0337701761321625e-06,5.089865286262839e-06,2.522275878764075e-06,2.5347038015272723e-06,3.499736625375211e-06,2.74e-07
TD01GL001212,5.079626802032659e-07,3.631955109662748e-07,1.759544985345181e-07,6.558681860680841e-07,4.98375056425132e-07,1.7166768548880606e-07,1.9800481513864775e-07,
TD01GL001213,2.4514100491049134e-06,1.6798908179577648e-06,6.997546756598928e-07,2.400843847766602e-06,1.5955654154116792e-06,1.151370018208575e-06,4.861462584933685e-07,1.4599999999999998e-07
TD01GL001214,4.474759281911958e-08,,6.45551228832104e-08,6.747890030546584e-08,,,,
TD01GL001215,2.9888371818066013e-06,1.0721987199217946e-06,4.506304269572824e-07,3.1932182638155513e-06,1.2378437557637904e-06,1.634904622719603e-06,1.7694883964885508e-06,6.590000000000001e-07
TD01GL001217,1.21197086297115e-07,,4.5505602819111693e-08,1.5011883925452154e-07,1.4709173395578257e-07,1.1925489298040066e-07,9.870183471497414e-08,
TD01GL001218,6.177066604803801e-07,1.825992505296302e-07,3.2961015975950404e-08,1.0016955083775966e-06,4.448110295679598e-07,2.0021879966213512e-07,8.928629093156393e-08,9.039999999999999e-08
TD01GL001221,1.4081966520544898e-05,1.1674265143299162e-06,7.822715312970665e-07,1.3197637130386058e-05,4.139999307728403e-06,4.662976900629548e-06,5.618344736609569e-06,2.5e-06
TD01GL001222,1.0294074507237193e-06,4.812329478088021e-07,2.0651586045265448e-07,1.0253592924379521e-06,7.183074396427675e-07,5.403453394557678e-07,7.535115807253926e-07,1.11e-07
TD01GL001223,1.3642787739793292e-07,4.275688222983343e-09,1.2121353410196237e-08,1.4902065958447873e-07,1.2955762694292456e-07,2.2227958606074315e-07,1.3745638960527957e-07,1.15e-07
TD01GL001224,,,,4.864740793338749e-08,,,,
TD01GL001225,4.086020928007353e-08,,,3.6843147934596816e-08,,,,
TD01GL001226,3.89542188219941e-07,7.531024417045547e-08,1.1230671758691434e-07,4.158517549072217e-07,2.302140111617981e-07,3.753228844827802e-07,3.259589417019177e-07,2.23e-07
