metacyc	kegg
AQUACOBALAMIN-REDUCTASE-NADPH-RXN	R00107
NADPH--CYTOCHROME-C2-REDUCTASE-RXN	R00108
LEGHEMOGLOBIN-REDUCTASE-RXN	R00109
RXN-13565	R00111
PYRNUTRANSHYDROGEN-RXN	R00112
NADPH-PEROXIDASE-RXN	R00113
GLUTAMATESYN-RXN	R00114
GLUTATHIONE-REDUCT-NADPH-RXN	R00115
RXN-5822	R00118
RXN-13973	R00119
GLUTATHIONE-OXIDASE-RXN	R00120
RXN-10862	R00122
ADP-DEAMINASE-RXN	R00123
3.6.1.41-RXN	R00125
ATP-ADENYLYLTRANSFERASE-RXN	R00126
ADENYL-KIN-RXN	R00127
ADENOSINE-TETRAPHOSPHATASE-RXN	R00128
4.2.1.93-RXN	R00129
DEPHOSPHOCOAKIN-RXN	R00130
UREASE-RXN	R00131
CARBODEHYDRAT-RXN	R00132
FORMATE-DEHYDROGENASE-NADP+-RXN	R00134
3.4.11.5-RXN	R00135
2.7.7.1-RXN	R00137
TRIPHOSPHATASE-RXN	R00138
AMMONIA-KINASE-RXN	R00141
HYDROXYLAMINE-REDUCTASE-NADH-RXN	R00143
RXN-13202	R00149
CARBAMATE-KINASE-RXN	R00150
RXN-12197	R00155
UDPKIN-RXN	R00156
RXN-12002	R00158
RXN-12196	R00159
FAD-PYROPHOSPHATASE-RXN	R00160
FADSYN-RXN	R00161
2.7.12.1-RXN	R00162
3.1.3.74-RXN	R00173
PYRIDOXKIN-RXN	R00174
ADENOSYLMETHIONINE-HYDROLASE-RXN	R00175
S-ADENMETSYN-RXN	R00177
SAMDECARB-RXN	R00178
4.4.1.14-RXN	R00179
ADENOSYLMETHIONINE-CYCLOTRANSFERASE-RXN	R00180
AMP-DEAMINASE-RXN	R00181
AMP-NUCLEOSID-RXN	R00182
AMP-DEPHOSPHORYLATION-RXN	R00183
RXN-12820	R00184
ADENOSINE-KINASE-RXN	R00185
BIS5-ADENOSYL-TRIPHOSPHATASE-RXN	R00187
325-BISPHOSPHATE-NUCLEOTIDASE-RXN	R00188
NAD-SYNTH-NH3-RXN	R00189
ADENPRIBOSYLTRAN-RXN	R00190
RXN0-5038	R00191
ADENOSYLHOMOCYSTEINASE-RXN	R00192
S-ADENOSYLHOMOCYSTEINE-DEAMINASE-RXN	R00193
ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN	R00194
4.3.1.15-RXN	R00195
L-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN	R00196
D-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN	R00197
1.1.2.5-RXN	R00198
PEPSYNTH-RXN	R00199
PEPDEPHOS-RXN	R00200
METHYL-GLYOXAL-DEHYDROG-RXN	R00203
RXN-8639	R00205
PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN	R00206
1.2.3.3-RXN	R00207
PHOSPHOENOLPYRUVATE-PHOSPHATASE-RXN	R00208
PYRUVDEH-RXN	R00209
PYRUVATE-DEHYDROGENASE-NADP+-RXN	R00210
PYRUVATE-OXIDASE-COA-ACETYLATING-RXN	R00211
PYRUVFORMLY-RXN	R00212
CARBAMOYL-SERINE-AMMONIA-LYASE-RXN	R00213
1.1.1.39-RXN	R00214
1.1.1.83-RXN	R00215
MALIC-NADP-RXN	R00216
OXALODECARB-RXN	R00217
4.1.1.78-RXN	R00218
4.3.1.17-RXN	R00220
DSERDEAM-RXN	R00221
RXN-6161	R00224
ACETOLACTSYN-RXN	R00226
ACETYL-COA-HYDROLASE-RXN	R00227
ACETALD-DEHYDROG-RXN	R00228
ACETATE--COA-LIGASE-ADP-FORMING-RXN	R00229
PHOSACETYLTRANS-RXN	R00230
MALONYL-COA-DECARBOXYLASE-RXN	R00233
ACETATE--COA-LIGASE-RXN	R00235
CITRAMALYL-COA-LYASE-RXN	R00237
ACETYL-COA-ACETYLTRANSFER-RXN	R00238
GLUTKIN-RXN	R00239
GLUTAMATE-1-KINASE-RXN	R00241
GLUTAMATE-DEHYDROGENASE-RXN	R00243
RXN-14116	R00245
GLUTDEHYD-RXN	R00248
L-GLUTAMATE-OXIDASE-RXN	R00250
5-OXOPROLINASE-ATP-HYDROLYSING-RXN	R00251
GLUTAMINESYN-RXN	R00253
GLUTAMIN-RXN	R00256
NAD-SYNTH-GLN-RXN	R00257
ALANINE-AMINOTRANSFERASE-RXN	R00258
N-ACETYLTRANSFER-RXN	R00259
GLUTRACE-RXN	R00260
GLUTDECARBOX-RXN	R00261
METHYLASPARTATE-MUTASE-RXN	R00262
25-DIOXOVALERATE-DEHYDROGENASE-RXN	R00264
OXOGLUTARATE-DEHYDROGENASE-NADP+-RXN	R00265
ISOCITDEH-RXN	R00267
RXN-8642	R00268
RXN-13072	R00269
RXN-7594	R00270
HOMOCITRATE-SYNTHASE-RXN	R00271
RXN-7774	R00272
OXALATE-OXIDASE-RXN	R00273
GLUTATHIONE-PEROXIDASE-RXN	R00274
SUPEROX-DISMUT-RXN	R00275
PMPOXI-RXN	R00277
PNPOXI-RXN	R00278
D-GLUTAMATE-OXIDASE-RXN	R00279
1.6.99.5-RXN	R00281
NADH-DEHYDROGENASE-RXN	R00281
NADPH-DEHYDROGENASE-RXN	R00282
HYDROXYLAMINE-REDUCTASE-RXN	R00284
UGD-RXN	R00286
GLUC1PURIDYLTRANS-RXN	R00289
UDPGLUCEPIM-RXN	R00291
RXN-7668	R00292
UDP-GLUCOSE-46-DEHYDRATASE-RXN	R00293
NITRIC-OXIDE-REDUCTASE-RXN	R00294
HYDROGENSULFITE-REDUCTASE-RXN	R00295
1.2.7.4-RXN	R00296
D-2-HYDROXY-ACID-DEHYDROGENASE-RXN	R00297
2-HYDROXYGLUTARATE-DEHYDROGENASE-RXN	R00298
GLUCOKIN-RXN	R00299
GLUCOSE-1-DEHYDROGENASE-RXN	R00300
PYRANOSE-OXIDASE-RXN	R00302
GLUCOSE-1-PHOSPHAT-RXN	R00304
GLUCOSE-DEHYDROGENASE-ACCEPTOR-RXN	R00305
RXN-11334	R00305
GLUCISOM-RXN	R00307
PROTOHEMEFERROCHELAT-RXN	R00310
HEME-OXYGENASE-DECYCLIZING-RXN	R00311
ACETATEKIN-RXN	R00315
3.11.1.2-RXN	R00318
RXN-19631	R00319
ACETATE-KINASE-PYROPHOSPHATE-RXN	R00320
RXN-14728	R00321
ACETYLPYRUVATE-HYDROLASE-RXN	R00324
CITRAMALATE-LYASE-RXN	R00325
6-ACETYLGLUCOSE-DEACETYLASE-RXN	R00327
GUANOSINE-DIPHOSPHATASE-RXN	R00328
NUCLEOSIDE-DIPHOSPHATASE-RXN	R00329
GDPKIN-RXN	R00330
NUCLEOSIDE-DIP-KIN-RXN	R00331
GUANYL-KIN-RXN	R00332
2.7.4.10-RXN	R00333
NUCLEOSIDE-PHOSPHATE-KINASE-RXN	R00334
RXN0-5462	R00335
PPGPPSYN-RXN	R00336
GDP-GLUCOSIDASE-RXN	R00337
OXALOACETASE-RXN	R00338
LTARTDEHYDRA-RXN	R00339
D--TARTRATE-DEHYDRATASE-RXN	R00340
PEPCARBOXYKIN-RXN	R00341
MALATE-DEH-RXN	R00342
MALATE-DEHYDROGENASE-NADP+-RXN	R00343
RXN-10813	R00343
PYRUVATE-CARBOXYLASE-RXN	R00344
PEPCARBOX-RXN	R00345
4.1.1.38-RXN	R00346
4.3.1.20-RXN	R00347
RXN-6562	R00348
RXN-2464	R00350
CITSYN-RXN	R00351
ATP-CITRATE-PRO-S--LYASE-RXN	R00352
RXN-7929	R00354
ASPAMINOTRANS-RXN	R00355
L-ASPARTATE-OXID-RXN	R00357
D-ASPARTATE-OXIDASE-RXN	R00359
MALATE-DEHYDROGENASE-ACCEPTOR-RXN	R00361
CITLY-RXN	R00362
OXALOACETATE-TAUTOMERASE-RXN	R00363
GLYCINE-DEHYDROGENASE-CYTOCHROME-RXN	R00364
GLYCINE-DEHYDROGENASE-RXN	R00365
1.4.3.19-RXN	R00366
GLYCINE-N-METHYLTRANSFERASE-RXN	R00367
STROMBINE-DEHYDROGENASE-RXN	R00368
ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	R00369
AKBLIG-RXN	R00370
AKBLIG-RXN	R00371
GLYCINE-AMINOTRANSFERASE-RXN	R00372
2.6.1.35-RXN	R00373
DNA-DIRECTED-DNA-POLYMERASE-RXN	R00379
DNA-NUCLEOTIDYLEXOTRANSFERASE-RXN	R00379
RNA-DIRECTED-DNA-POLYMERASE-RXN	R00379
DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN	R00380
DNA-LIGASE-ATP-RXN	R00381
DNA-LIGASE-NAD+-RXN	R00382
3.1.2.18-RXN	R00383
3.1.2.19-RXN	R00383
ACYL-COA-HYDROLASE-RXN	R00383
TRANS-2-ENOYL-COA-REDUCTASE-NAD+-RXN	R00384
ACYL-COA-DEHYDROGENASE-NADP+-RXN	R00385
CIS-2-ENOYL-COA-REDUCTASE-NADPH-RXN	R00387
RXN-11026	R00388
BUTYRATE--COA-LIGASE-RXN	R00389
RXN-7904	R00390
KETOACYLCOATHIOL-RXN	R00391
LONG-CHAIN-ACYL-COA-DEHYDROGENASE-RXN	R00392
ACECOATRANS-RXN	R00393
ACID--COA-LIGASE-GDP-FORMING-RXN	R00394
GLYCINE-N-ACYLTRANSFERASE-RXN	R00395
ALANINE-DEHYDROGENASE-RXN	R00396
ASPARTATE-4-DECARBOXYLASE-RXN	R00397
ALANOPINE-DEHYDROGENASE-RXN	R00398
AKPTHIOL-RXN	R00399
ALARACECAT-RXN	R00401
FUMARATE-REDUCTASE-NADH-RXN	R00402
SUCCCOASYN-RXN	R00405
RXN-8964	R00406
SUCCINYL-COA-HYDROLASE-RXN	R00407
METHYLISOCITRATE-LYASE-RXN	R00409
RXNI-2	R00410
SUCCGLUDESUCC-RXN	R00411
RXN-9987	R00414
NAG1P-URIDYLTRANS-RXN	R00416
2.4.1.94-RXN	R00417
UDP-N-ACETYLGLUCOSAMINE-4-EPIMERASE-RXN	R00418
UDPGLCNACEPIM-RXN	R00420
1.1.1.136-RXN	R00421
GTP-CYCLOHYDRO-I-RXN	R00424
GTP-CYCLOHYDRO-II-RXN	R00425
RXN-14140	R00426
GTPPYPHOSKIN-RXN	R00429
RXN-14117	R00430
4.1.1.32-RXN	R00431
SUCCINATE--COA-LIGASE-GDP-FORMING-RXN	R00432
GUANYLCYC-RXN	R00434
RNA-DIRECTED-RNA-POLYMERASE-RXN	R00444
LYSINE-DEHYDROGENASE-RXN	R00445
RXN-8808	R00446
L-LYSINE-OXIDASE-RXN	R00447
1.14.13.59-RXN	R00448
LYSINE-2-MONOOXYGENASE-RXN	R00449
DIAMINOPIMDECARB-RXN	R00451
D-LYSOPINE-DEHYDROGENASE-RXN	R00452
LYSINE--PYRUVATE-6-AMINOTRANSFERASE-RXN	R00453
LYSACET-RXN	R00454
L-LYSINE-AMINOTRANSFERASE-RXN	R00457
LYSINE-RACEMASE-RXN	R00460
LYSINE-23-AMINOMUTASE-RXN	R00461
LYSDECARBOX-RXN	R00462
L-LYSINE-LACTAMASE-RXN	R00463
GLYOXYLATE-REDUCTASE-NADP+-RXN	R00465
GLYOXYLATE-OXIDASE-RXN	R00466
GLYOXYLATE-DEHYDROGENASE-ACYLATING-RXN	R00468
UREIDOGLYCOLATE-HYDROLASE-RXN	R00469
4OH2OXOGLUTARALDOL-RXN	R00470
MALSYN-RXN	R00472
MALYL-COA-LYASE-RXN	R00473
2-HYDROXY-3-OXOADIPATE-SYNTHASE-RXN	R00474
RXN-969	R00475
GLYCOLATEDEHYDRO-RXN	R00476
OXALOMALATE-LYASE-RXN	R00477
RXN-11769	R00478
ISOCIT-CLEAV-RXN	R00479
ASPARTATEKIN-RXN	R00480
L-ASPARTATE-OXID-RXN	R00481
6.3.1.4-RXN	R00482
ASNSYNA-RXN	R00483
UREIDOSUCCINASE-RXN	R00484
ASPARAGHYD-RXN	R00485
3.5.5.4-RXN	R00486
ASPARTATE-N-ACETYLTRANSFERASE-RXN	R00487
RXN-13680	R00488
ASPDECARBOX-RXN	R00489
ASPARTASE-RXN	R00490
ASPARTATE-RACEMASE-RXN	R00491
RXN-12618	R00494
GLUTATHIONE-SYN-RXN	R00497
S-SUCCINYLGLUTATHIONE-HYDROLASE-RXN	R00499
UTPHEXPURIDYLYLTRANS-RXN	R00502
LACTOSE-SYNTHASE-RXN	R00503
2.7.8.18-RXN	R00504
GALPMUT-RXN	R00505
PHOSPHOADENYLYLSULFATASE-RXN	R00507
R163-RXN	R00508
ADENYLYLSULFKIN-RXN	R00509
RXN-14065	R00510
RXN-14026	R00511
RXN-11832	R00512
CYTIKIN-RXN	R00513
RXN-12198	R00514
RXN0-383	R00515
CYTIDINEKIN-RXN	R00517
FORMATE-KINASE-RXN	R00518
1.2.1.2-RXN	R00519
FORMYL-COA-HYDROLASE-RXN	R00521
OXALATE-DECARBOXYLASE-RXN	R00522
FORMAMIDASE-RXN	R00524
N-FORMYLGLUTAMATE-DEFORMYLASE-RXN	R00525
FORMYLASPARTATE-DEFORMYLASE-RXN	R00526
S-FORMYLGLUTATHIONE-HYDROLASE-RXN	R00527
SULFITE-DEHYDROGENASE-RXN	R00528
SULFATE-ADENYLYLTRANS-RXN	R00529
SULFATE-ADENYLYLTRANSFERASE-ADP-RXN	R00530
ADENYLYLSULFATASE-RXN	R00531
SERINE-SULFATE-AMMONIA-LYASE-RXN	R00532
SULFITE-OXIDASE-RXN	R00533
GLYCOSULFATASE-RXN	R00534
ALDHDEHYDROG-RXN	R00538
ACYLPHOSPHATASE-RXN	R00539
3.5.5.1-RXN	R00540
5-ACYLPHOSPHOADENOSINE-HYDROLASE-RXN	R00542
ACYLPYRUVATE-HYDROLASE-RXN	R00543
1.2.99.7-RXN	R00544
CARBOXYLATE-REDUCTASE-RXN	R00544
ACYL-LYSINE-DEACYLASE-RXN	R00545
ASPARTOACYLASE-RXN	R00546
GLUTATHIONE-THIOESTERASE-RXN	R00547
RXN0-5187	R00548
RIBOFLAVINKIN-RXN	R00549
RIBOFLAVIN-PHOSPHOTRANSFERASE-RXN	R00550
ARGINASE-RXN	R00551
ARGININE-DEIMINASE-RXN	R00552
ARGININE-KINASE-RXN	R00554
2.4.2.31-RXN	R00555
NITRIC-OXIDE-SYNTHASE-RXN	R00557
RXN-13564	R00558
ARGININE-2-MONOOXYGENASE-RXN	R00559
1.5.1.11-RXN	R00562
1.5.1.19-RXN	R00563
GLYCINE-AMIDINOTRANSFERASE-RXN	R00565
ARGDECARBOX-RXN	R00566
ARGININE-RACEMASE-RXN	R00567
RXN-14118	R00568
RXN-12195	R00569
CDPKIN-RXN	R00570
CTPSYN-RXN	R00573
CYTIDYLATE-CYCLASE-RXN	R00574
CARBPSYN-RXN	R00575
GLUTAMINE--PYRUVATE-AMINOTRANSFERASE-RXN	R00576
GLUTAMINE-N-ACYLTRANSFERASE-RXN	R00577
ASNSYNB-RXN	R00578
SERINE-DEHYDROGENASE-RXN	R00581
RXN0-5114	R00582
2.7.1.80-RXN	R00584
SERINE--PYRUVATE-AMINOTRANSFERASE-RXN	R00585
SERINE-O-ACETTRAN-RXN	R00586
SERINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	R00588
5.1.1.18-RXN	R00589
RXN-15125	R00590
TRNA-URACIL-5--METHYLTRANSFERASE-RXN	R00594
RXN-11855	R00595
RXN-12458	R00597
TRNA-ADENINE-N6--METHYLTRANSFERASE-RXN	R00599
TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN	R00600
RXN0-5144	R00601
RXN-14189	R00602
DICHLOROMETHANE-DEHALOGENASE-RXN	R00603
FORMALDEHYDE-DEHYDROGENASE-RXN	R00604
METHANOL-DEHYDROGENASE-RXN	R00605
RXN-2841	R00606
METHANOL-OXIDASE-RXN	R00608
METHYLGUTAMATE-DEHYDROGENASE-RXN	R00609
SARCOX-RXN	R00610
SARCOSINE-DEHYDROGENASE-RXN	R00611
N6-METHYL-LYSINE-OXIDASE-RXN	R00612
RXN-11453	R00614
RXN0-3542	R00615
THIAMIN-DIPHOSPHATE-KINASE-RXN	R00616
THI-P-KIN-RXN	R00617
THIAMIN-TRIPHOSPHATASE-RXN	R00618
THIAMIN-PYROPHOSPHOKINASE-RXN	R00619
RXN-12448	R00624
ACID-PHOSPHATASE-RXN	R00626
ALKAPHOSPHA-RXN	R00626
ALCOHOL-O-ACETYLTRANSFERASE-RXN	R00627
ACETYLESTERASE-RXN	R00628
ALCOHOL-SULFOTRANSFERASE-RXN	R00629
CARBOXYLESTERASE-RXN	R00630
ALDHDEHYDROG-RXN	R00632
ALDEHYDE-DEHYDROGENASE-NADP+-RXN	R00634
ALDEHYDE-OXIDASE-RXN	R00635
PYRUVATE-DECARBOXYLASE-RXN	R00636
ALCOHOL-OXIDASE-RXN	R00637
ALKAN-1-OL-DEHYDROGENASE-ACCEPTOR-RXN	R00639
GALACTONOLACTONE-DEHYDROGENASE-RXN	R00640
1.3.3.12-RXN	R00643
RXN-3521	R00644
RXN-10981	R00645
RXN-8784	R00647
METHIONINE-S-METHYLTRANSFERASE-RXN	R00649
HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN	R00650
O-ACETYLHOMOSERINE-THIOL-LYASE-RXN	R00651
METHIONINE--GLYOXYLATE-TRANSAMINASE-RXN	R00652
FORMYLMETHIONINE-DEFORMYLASE-RXN	R00653
METHIONINE-GAMMA-LYASE-RXN	R00654
METHIONINE-RACEMASE-RXN	R00655
METHIONINE-DECARBOXYLASE-RXN	R00656
2PGADEHYDRAT-RXN	R00658
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	R00660
PHOSPHOENOLPYRUVATE-MUTASE-RXN	R00661
RXN-14139	R00662
ORNITHINE-N-BENZOYLTRANSFERASE-RXN	R00664
CITRULLINASE-RXN	R00665
1.5.1.24-RXN	R00666
ORNITHINE-GLU-AMINOTRANSFERASE-RXN	R00667
ACETYLORNDEACET-RXN	R00669
ORNDECARBOX-RXN	R00670
ORNITHINE-CYCLODEAMINASE-RXN	R00671
ORNITHINE-RACEMASE-RXN	R00672
TRYPTOPHAN-RXN	R00673
RXN0-2382	R00674
TRYPTOPHAN-DEHYDROGENASE-RXN	R00676
RXN-8665	R00678
TRYPTOPHAN-2-MONOOXYGENASE-RXN	R00679
TRYPTOPHAN-2-DIOXYGENASE-RXN	R00681
TRYPTOPHANAMIDASE-RXN	R00682
TRYPTOPHAN-AMINOTRANSFERASE-RXN	R00684
AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN	R00685
5.1.1.11-RXN	R00686
PHENYLALANINE-DEHYDROGENASE-RXN	R00688
RXN-17130	R00689
PHENYLALANINE-2-MONOOXYGENASE-RXN	R00690
CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN	R00691
2.6.1.58-RXN	R00692
PHENYLALANINE-N-ACETYLTRANSFERASE-RXN	R00693
RXN-10814	R00694
2.6.1.70-RXN	R00695
PHENYLALANINE-AMMONIA-LYASE-RXN	R00697
PHENYLALANINE-2-MONOOXYGENASE-RXN	R00698
PHENYLALANINE-DECARBOXYLASE-RXN	R00699
HYDROGEN-DEHYDROGENASE-RXN	R00700
RXN-12263	R00702
L-LACTATE-DEHYDROGENASE-RXN	R00703
DLACTDEHYDROGNAD-RXN	R00704
RXN-2902	R00705
1.2.1.18-RXN	R00706
PYRROLINECARBDEHYDROG-RXN	R00707
ISOCITRATE-DEHYDROGENASE-NAD+-RXN	R00709
RXN66-3	R00710
RXN0-3962	R00711
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	R00713
SUCCSEMIALDDEHYDROG-RXN	R00714
1.5.1.7-RXN	R00715
1.5.1.8-RXN	R00716
GLYCOLATE-REDUCTASE-RXN	R00717
RXN0-5073	R00719
RXN0-6382	R00720
RXN-14120	R00722
RXN-12481	R00726
RXN-12511	R00727
TYROSINE-PHENOL-LYASE-RXN	R00728
RXN-12487	R00729
TYROSINE-N-MONOOXYGENASE-RXN	R00730
RXN-5861	R00731
CYCLOHEXADIENYL-DEHYDROGENASE-RXN	R00732
RXN-5682	R00733
TYROSINE-AMINOTRANSFERASE-RXN	R00734
TYROSINE--ARGININE-LIGASE-RXN	R00735
TYROSINE-DECARBOXYLASE-RXN	R00736
RXN-9697	R00737
TYROSINE-23-AMINOMUTASE-RXN	R00739
RXN-8963	R00740
ACETYL-COA-CARBOXYLTRANSFER-RXN	R00742
MALONATE-COA-TRANSFERASE-RXN	R00743
RXN-12484	R00746
PHOSPHONOACETALDEHYDE-HYDROLASE-RXN	R00747
ETHANOLAMINE-PHOSPHATE-PHOSPHO-LYASE-RXN	R00748
ETHAMLY-RXN	R00749
MHPELY-RXN	R00750
THREONINE-ALDOLASE-RXN	R00751
LACTATE-ALDOLASE-RXN	R00753
ALCOHOL-DEHYDROG-RXN	R00754
6PFRUCTPHOS-RXN	R00756
MANNPDEHYDROG-RXN	R00758
FRUCTOKINASE-RXN	R00760
FRUCTOSE-6-PHOSPHATE-PHOSPHOKETOLASE-RXN	R00761
F16BDEPHOS-RXN	R00762
3.1.3.46-RXN	R00763
2.7.1.90-RXN	R00764
GLUCOSAMINE-6-P-DEAMIN-RXN	R00765
SUCROSE-PHOSPHATE-SYNTHASE-RXN	R00766
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	R00768
PGLUCISOM-RXN	R00771
MANNPISOM-RXN	R00772
UREA-CARBOXYLASE-RXN	R00774
GUANIDINOACETASE-RXN	R00775
UREIDOGLYCOLATE-LYASE-RXN	R00776
AMIDINOASPARTASE-RXN	R00777
CYANAMIDE-HYDRATASE-RXN	R00778
FESGSHTHIO-RXN	R00781
LCYSDESULF-RXN	R00782
NITRITE-REDUCTASE-CYTOCHROME-RXN	R00783
FERREDOXIN--NITRITE-REDUCTASE-RXN	R00790
1.7.7.2-RXN	R00791
HAONITRO-RXN	R00793
NITRATE-REDUCTASE-NADH-RXN	R00794
NITRATE-REDUCTASE-NADPH-RXN	R00796
NITROETHANE-OXIDASE-RXN	R00799
3.2.1.48-RXN	R00802
SUCROSE-PHOSPHORYLASE-RXN	R00803
SUGAR-PHOSPHATASE-RXN	R00804
SUCROSE-PHOSPHATASE-RXN	R00805
GLUCOSIDE-3-DEHYDROGENASE-RXN	R00808
2.4.1.167-RXN	R00809
ISOMALTULOSE-SYNTHASE-RXN	R00810
SUCROSEPHOSPHO-RXN	R00811
1.3.1.19-RXN	R00812
1.3.1.25-RXN	R00813
1.3.1.20-RXN	R00814
PHENOL-2-MONOOXYGENASE-RXN	R00815
CATECHOL-23-DIOXYGENASE-RXN	R00816
CATECHOL-12-DIOXYGENASE-RXN	R00817
SALICYLATE-1-MONOOXYGENASE-RXN	R00818
O-PYROCATECHUATE-DECARBOXYLASE-RXN	R00821
PROTOCATECHUATE-DECARBOXYLASE-RXN	R00822
1.14.12.1-RXN	R00825
2-NITROPHENOL-2-MONOOXYGENASE-RXN	R00828
RXN-3641	R00829
5-AMINOLEVULINIC-ACID-SYNTHASE-RXN	R00830
ARGININE-N-SUCCINYLTRANSFERASE-RXN	R00832
METHYLMALONYL-COA-MUT-RXN	R00833
ALDOSE-6-PHOSPHATE-REDUCTASE-NADPH-RXN	R00834
RXN-14819	R00835
TREHALOSE6PSYN-RXN	R00836
TRE6PHYDRO-RXN	R00837
MALTOSE-6-PHOSPHATE-GLUCOSIDASE-RXN	R00838
6-PHOSPHO-BETA-GLUCOSIDASE-RXN	R00839
GLYCEROL-1-PHOSPHATASE-RXN	R00841
1.1.1.8-RXN	R00842
GLYC3PDEHYDROGBIOSYN-RXN	R00844
1.1.1.177-RXN	R00845
GLYCEROL-3-PHOSPHATE-OXIDASE-RXN	R00846
GLYCEROL-KIN-RXN	R00847
RXN0-5260	R00849
2.7.1.142-RXN	R00850
RXN-1381	R00851
2.4.1.137-RXN	R00853
2.4.1.96-RXN	R00854
CDP-GLYCEROL-PYROPHOSPHATASE-RXN	R00855
2.7.7.39-RXN	R00856
GLYCPDIESTER-RXN	R00857
SULFITE-REDUCT-RXN	R00858
SULFITE-REDUCTASE-FERREDOXIN-RXN	R00859
ADENYLYLSULFATE-REDUCTASE-RXN	R00860
RXN-17803	R00861
RXN0-279	R00863
MANNITOL-DEHYDROGENASE-CYTOCHROME-RXN	R00865
KETOHEXOKINASE-RXN	R00866
